makesafe,wdrinkng,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fwealthq,fuelmain,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
9999,21,1,1,1,1,5,0,1,1,1,3,28,2,134,4,2,8,351.52288818,1,1,0,9999,0,1,0
9999,21,3,1,3,3,5,0,1,1,1,3,28,2,135,2,6,8,351.52288818,1,1,0,9999,0,1,0
2,21,1,1,1,1,5,0,1,1,1,3,28,4,136,5,2,6,351.52288818,1,1,0,1,0,0,1
4,21,1,3,3,1,5,0,0,1,1,3,28,3,137,3,6,6,351.52288818,1,1,0,1,1,0,0
0,21,1,1,3,3,5,1,1,1,1,3,28,1,138,3,6,8,351.52288818,1,1,1,0,1,0,0
9999,21,1,1,1,1,5,0,1,1,1,3,28,3,139,4,6,6,351.52288818,1,1,0,9999,0,0,1
0,31,1,1,1,1,4,0,1,1,1,1,28,2,14,3,6,8,228.5216217,1,1,0,0,0,0,1
2,31,3,1,1,1,5,0,1,1,1,3,28,2,140,3,6,8,351.52288818,1,1,0,1,0,0,1
1,81,3,1,1,1,2,0,1,1,1,1,28,0,141,2,6,8,350.72280884,1,1,0,1,1,0,1
0,11,1,1,3,3,2,0,1,1,1,1,28,1,142,2,6,8,350.72280884,1,1,0,0,0,1,0
0,31,3,1,3,1,2,0,1,1,1,1,28,0,143,2,6,8,350.72280884,1,1,0,0,0,0,1
2,31,1,1,1,1,2,0,0,1,1,1,28,2,144,3,2,8,350.72280884,1,1,0,1,0,0,1
1,11,5,1,1,1,2,0,1,1,1,1,28,1,145,3,6,8,350.72280884,1,1,1,1,0,0,1
9,91,1,1,1,1,2,0,1,1,1,1,28,0,146,3,6,8,350.72280884,1,1,0,9,0,0,1
0,11,3,1,1,1,2,0,0,1,1,1,28,2,147,4,2,8,350.72280884,1,1,1,0,0,0,1
9,91,1,1,3,1,2,1,0,1,1,1,28,2,148,3,7,8,350.72280884,1,1,1,9,0,0,1
0,11,1,1,1,1,2,0,1,1,1,1,28,4,149,4,2,8,350.72280884,1,1,1,0,0,0,0
9,91,1,1,1,1,4,0,0,1,1,1,28,1,15,4,6,8,228.5216217,1,1,1,9,1,0,0
0,21,1,1,3,1,2,1,0,1,1,1,28,2,150,3,6,8,350.72280884,1,1,0,0,1,0,1
0,21,1,1,3,3,2,1,1,1,1,1,28,3,151,2,3,8,350.72280884,4,1,0,0,0,1,0
0,11,1,1,1,1,2,0,1,1,1,1,28,2,152,4,2,8,350.72280884,1,1,1,0,0,0,0
1,21,1,1,2,1,2,0,1,1,1,1,28,0,153,3,6,8,350.72280884,1,1,1,1,0,0,1
2,31,1,1,2,1,2,1,1,1,1,1,28,2,154,3,6,8,350.72280884,1,1,0,1,1,0,1
0,11,1,1,1,1,3,0,1,1,1,2,28,3,155,4,6,8,341.18518066,1,1,0,0,0,0,1
9,91,3,1,1,1,3,0,1,1,1,2,28,1,156,3,6,8,341.18518066,1,1,0,9,0,1,0
9,91,1,2,1,1,3,0,1,1,1,2,28,6,157,5,2,6,341.18518066,1,1,1,9,0,0,1
9,91,1,2,1,1,3,0,1,1,1,2,28,5,158,5,2,6,341.18518066,1,1,0,9,0,1,0
9,91,1,1,1,1,3,0,1,1,1,2,28,2,159,4,2,6,341.18518066,1,1,0,9,1,1,0
0,21,2,1,1,1,4,0,0,1,1,1,28,0,16,3,6,3,228.5216217,1,1,0,0,0,1,1
9,91,1,1,1,1,3,0,1,1,1,2,28,5,160,5,2,6,341.18518066,1,1,0,9,0,1,0
