fdsec01,fdsec02,fdsec03,fdsec04,fdsec05,fdsec06,fdsec07,fdsec08,fdsec09,hhnum,provcode,psurec,regcode,strrec,Wgt2
3,3,3,3,3,3,3,3,3,268,28,3,1,3,341.18518066
0,0,0,0,0,0,0,0,0,269,28,3,1,3,341.18518066
3,3,3,1,3,3,1,0,0,27,28,1,1,4,228.5216217
3,1,0,0,0,0,0,0,0,270,28,3,1,3,341.18518066
1,0,0,0,0,0,0,0,0,271,28,3,1,3,341.18518066
0,0,0,0,0,0,0,0,0,272,28,3,1,3,341.18518066
1,1,1,0,1,0,0,0,0,273,28,3,1,3,341.18518066
2,0,0,0,0,0,0,0,0,274,28,3,1,3,341.18518066
2,0,0,0,0,0,0,0,0,275,28,3,1,3,341.18518066
1,3,0,1,0,0,1,0,0,276,28,3,1,3,341.18518066
1,0,0,0,0,0,0,0,0,277,28,3,1,3,341.18518066
2,2,3,2,2,2,2,2,0,278,28,3,1,3,341.18518066
2,1,2,2,1,0,0,0,0,279,28,3,1,3,341.18518066
0,0,0,0,0,0,0,0,0,28,28,1,1,4,228.5216217
2,2,0,0,0,0,0,0,0,280,28,3,1,3,341.18518066
2,2,1,0,0,0,0,0,0,281,28,3,1,3,341.18518066
2,0,0,0,0,0,0,0,0,282,28,3,1,3,341.18518066
1,1,0,1,1,0,0,0,0,283,28,3,1,3,341.18518066
0,0,0,0,0,0,0,0,0,284,28,3,1,3,341.18518066
1,1,1,1,1,1,1,1,0,285,28,4,1,4,341.71463013
1,2,1,1,1,0,0,0,0,286,28,4,1,4,341.71463013
1,0,1,1,1,0,1,0,0,287,28,4,1,4,341.71463013
0,1,1,1,1,1,0,0,0,288,28,4,1,4,341.71463013
1,0,1,1,0,0,0,0,0,289,28,4,1,4,341.71463013
2,2,2,2,2,1,0,0,0,29,28,1,1,4,228.5216217
0,0,0,0,0,0,0,0,0,290,28,4,1,4,341.71463013
1,1,1,1,1,0,0,0,0,291,28,4,1,4,341.71463013
1,1,1,1,1,0,0,0,0,292,28,4,1,4,341.71463013
1,1,1,1,1,0,0,0,0,293,28,4,1,4,341.71463013
0,0,0,0,0,0,0,0,0,294,28,4,1,4,341.71463013
1,1,1,1,0,0,0,0,0,295,28,4,1,4,341.71463013
2,1,1,1,0,0,0,0,0,296,28,4,1,4,341.71463013
1,1,1,1,1,1,1,0,0,297,28,4,1,4,341.71463013
2,1,1,1,1,0,0,0,0,298,28,4,1,4,341.71463013
0,0,0,0,0,0,0,0,0,299,28,4,1,4,341.71463013
0,0,0,0,0,0,0,0,0,3,28,1,1,1,375.89920044
2,3,3,1,2,1,0,0,0,30,28,1,1,4,228.5216217
0,0,0,0,0,0,0,0,0,300,28,4,1,4,341.71463013
2,2,2,2,2,0,0,0,0,301,28,4,1,4,341.71463013
0,0,0,0,0,0,0,0,0,302,28,4,1,4,341.71463013
0,0,0,0,0,0,0,0,0,303,28,4,1,4,341.71463013
1,1,0,0,0,0,0,0,0,304,28,4,1,4,341.71463013
3,3,3,2,2,3,2,2,2,305,28,4,1,4,341.71463013
3,2,3,3,3,0,0,0,0,306,28,4,1,3,341.18518066
