regcode,provcode,hhnum,member_code,age,sex,psc,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,psurec,strrec,wgts
1,28,50,1,21.412731,2,10,312.1185,304.6185,0,7.5,0,18,0,42.93504,29.68343,13.25161,37.5,0,37.5,165.07268,48.98571,116.08696,0,0,0,0,0,0,3,3,0,0,578.62622,1398.695557,56.16790009,208.991333,7.088560104,214.1547546,26.02206039,0.476289988,0.468690008,23.38784027,274.9259949,8.098259926,12318023000,28012,5264
1,28,52,7,4.3723478,2,0,87.296501,85.415497,0,1.881,0,23.25,1.365,66.26799,0,66.26799,0,0,0,70.551201,46.357651,0,24.19355,0,457.5,457.5,0,0.64499998,100,100,0,0,1588.4915,865.109375,32.78757858,643.0253296,0.372880012,1.234570026,6.566589832,31.44852066,132.0130463,22.8161602,520.4467163,2.608839989,12318023000,28012,5264
1,28,54,4,3.7700205,2,0,115.24962,84.077621,0,31.172001,0,7.25,0,21.605631,21.605631,0,0,0,0,20.71591,20.71591,0,0,52.798851,114.375,114.375,0,52.630001,100,100,0,0,856.57117,881.2612305,24.55620003,256.2548523,0.358880013,0.634429991,7.980840206,20.16799927,139.9876251,24.7009201,282.397522,4.397130013,12318023000,28012,5264
1,28,55,9,23.329227,2,12,343.40399,301.69949,0,41.704498,0,3,2.5,110.51736,31.007681,79.509682,0,0,0,134.69791,134.69791,0,0,0,0,0,0,7.5,0.46000001,0.46000001,0,0,602.07928,1482.593018,45.59185028,345.288269,8.452460289,276.9369202,41.35739136,1.007689953,0.678390026,20.28270912,284.0131226,18.18683052,12318023000,28012,5264
1,28,55,10,1.3744011,2,0,27.4205,11.0505,0,16.370001,0,9.8000002,0,0,0,0,0,0,0,10.94984,10.94984,0,0,0,0,0,0,0,200,200,0,0,486.54068,265.707428,3.962790012,113.7511063,0.224739999,0.122699998,1.943019986,15,47.90830994,7.023159981,2.115170002,1.537289977,12318023000,28012,5264
1,28,58,1,21.853525,2,2,180.177,89.654999,0,90.522003,0,39.639999,0,53.280891,13,40.280891,0,0,0,164.18201,102.21712,61.96489,0,22.732759,0,0,0,5.5,34.75,27.75,0,7,500.26266,1594.066162,44.25265121,212.2368011,7.442649841,235.6842041,94.21769714,0.772970021,0.793129981,19.76951027,238.7500305,51.29747009,12318023000,28012,5264
1,28,59,4,1.4893909,1,99,41.327,21.684,0,19.643,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3218398,457.5,457.5,0,0,0,0,0,0,1003.9758,609.0350342,13.37662029,98.48468018,0.176129997,0.190789998,2.400880098,4.800000191,83.68393707,24.48442078,88.9458313,2.590840101,12318023000,28012,5264
1,28,59,3,5.1854892,1,99,129.463,31.275,0,98.188004,0,1.5,0,0,0,0,0,0,0,533.48199,500,33.481998,0,0,133.4375,133.4375,0,0.625,417.5,410,7.5,0,2429.8901,1201.526855,33.0652504,522.0130615,1.408079982,1.260769963,11.06564999,28.7982502,182.7552643,38.29565811,405.9362488,10.12100029,12318023000,28012,5264
1,28,59,2,35.055443,2,12,198.468,143.28,0,55.188,0,24.299999,0,36.91494,3.31866,33.596279,0,0,0,111.07749,48.624489,62.452999,0,0,76.25,76.25,0,1.5,10,10,0,0,458.51044,1496.506714,37.65074158,296.0100098,7.606939793,324.3012085,15.01119995,0.865769982,0.674489975,11.13728046,232.6449738,46.11423111,12318023000,28012,5264
1,29,65,5,3.8247776,1,99,109.6985,86.944504,0,22.754,0,23.16,0,0,0,0,0,0,0,272.46735,191.71162,43.470001,37.285709,66.613792,254.375,114.375,140,3.25,52.5,52.5,0,0,1471.1055,1362.610107,62.62326813,556.5042725,0.878859997,1.272119999,17.3024292,80.02500153,188.0120239,39.72153091,356.0603333,11.64890003,21207010000,29012,5276
