FDSEC01,FDSEC02,FDSEC03,FDSEC04,FDSEC05,FDSEC06,FDSEC07,FDSEC08,FDSEC09,hhnum,provcode,psurec,regcode,strrec,Wgt2
2,2,3,0,2,0,0,0,0,336,29,4,1,7,334.59927368164
1,0,0,0,0,0,0,0,0,337,29,4,1,7,334.59927368164
0,0,0,0,0,0,0,0,0,338,29,4,1,7,334.59927368164
2,1,0,1,1,2,0,0,0,339,29,4,1,7,334.59927368164
1,0,1,1,1,0,0,0,0,340,29,4,1,7,334.59927368164
1,3,2,2,3,0,0,0,0,341,29,4,1,7,334.59927368164
1,2,0,0,0,0,0,0,0,342,29,4,1,7,334.59927368164
1,0,0,2,0,0,0,0,0,343,29,4,1,7,334.59927368164
1,1,0,0,0,0,0,0,0,344,29,4,1,7,334.59927368164
3,2,2,2,2,0,0,0,0,346,29,4,1,6,335.2458190918
1,1,1,1,1,1,0,0,0,347,29,4,1,6,335.2458190918
2,3,3,3,3,2,0,1,0,349,29,4,1,6,335.2458190918
1,1,1,1,1,0,0,0,0,351,29,4,1,6,335.2458190918
1,1,1,1,1,1,0,0,0,352,29,4,1,6,335.2458190918
0,0,0,0,0,0,0,0,0,354,29,4,1,6,335.2458190918
1,1,0,0,0,0,0,0,0,355,29,4,1,6,335.2458190918
0,0,0,0,0,0,0,0,0,356,29,4,1,6,335.2458190918
0,0,0,0,0,0,0,0,0,357,29,4,1,6,335.2458190918
0,0,0,0,0,0,0,0,0,358,29,4,1,6,335.2458190918
0,0,0,0,0,0,0,0,0,359,29,4,1,6,335.2458190918
3,3,2,2,1,0,0,0,0,360,29,4,1,6,335.2458190918
0,2,1,0,0,0,0,0,0,361,29,4,1,6,335.2458190918
1,0,0,0,0,0,0,0,0,362,29,4,1,6,335.2458190918
1,1,0,0,0,0,0,0,0,363,29,4,1,6,335.2458190918
2,2,2,2,2,0,0,0,0,364,29,2,1,7,334.59927368164
0,1,0,0,0,0,0,0,0,365,29,2,1,7,334.59927368164
2,2,2,2,2,0,0,0,0,366,29,2,1,7,334.59927368164
0,1,0,0,0,0,0,0,0,367,29,2,1,7,334.59927368164
1,1,0,1,1,0,0,0,0,368,29,2,1,7,334.59927368164
2,2,1,1,0,0,0,0,0,369,29,2,1,7,334.59927368164
1,1,1,0,0,1,0,0,0,370,29,2,1,7,334.59927368164
1,1,1,1,1,0,0,0,0,371,29,2,1,7,334.59927368164
3,2,0,0,0,0,0,0,0,372,29,2,1,7,334.59927368164
0,0,0,0,0,0,0,0,0,373,29,2,1,7,334.59927368164
3,3,3,2,3,0,0,0,0,374,29,2,1,7,334.59927368164
1,1,1,1,2,1,0,0,0,375,29,2,1,7,334.59927368164
1,1,1,1,0,0,0,0,0,376,29,2,1,7,334.59927368164
2,2,1,0,0,1,0,0,0,377,29,2,1,7,334.59927368164
0,1,1,1,1,0,0,0,0,378,29,2,1,7,334.59927368164
2,3,3,3,2,0,0,0,0,379,29,2,1,7,334.59927368164
0,0,0,0,0,0,0,0,0,380,29,4,1,10,330.5
0,1,0,0,0,0,0,0,0,381,29,4,1,10,330.5
0,1,0,0,0,0,0,0,0,382,29,4,1,10,330.5
2,0,2,0,0,0,0,0,0,383,29,4,1,10,330.5
0,0,0,0,0,0,0,0,0,384,29,4,1,10,330.5
1,2,0,0,0,0,0,0,0,385,29,4,1,10,330.5
