regcode,provcode,hhnum,FDSEC01_RC,FDSEC02_RC,FDSEC03_RC,FDSEC04_RC,FDSEC05_RC,FDSEC06_RC,FDSEC07_RC,FDSEC08_RC,FDSEC09_RC,FDSEC10_RC,FDSEC11_RC,ST1MAIS_RC,ST1ROOTS_RC,ST1OTHER_RC,STRATG02_RC,STRATG03_RC,STRATG04_RC,STRATG05_RC,STRATG06_RC,STRATG07_RC,STRATG08_RC,STRATG09_RC,STRATG10_RC,STRATG11_RC,STRATG12_RC,STRATG13_RC,STRATG14_RC,STRATG15_RC,STRATG16_RC,psurec,strrec,wgts
0,3,30583,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637309006000,03032,387
0,3,30584,2,2,2,9,9,9,1,1,9,9,2,2,0,2,0,0,2,1,2,2,3,0,0,0,0,0,0,9,2,1637309006000,03032,387
0,3,30585,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1637309006000,03032,387
0,3,30629,0,0,0,0,0,0,2,2,2,2,0,1,3,0,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,1640012002000,03022,387.56
0,3,30631,1,0,0,0,0,0,2,2,2,2,0,4,4,0,3,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1640012002000,03022,387.56
0,3,30633,2,0,1,0,0,0,1,2,1,2,0,0,3,0,0,0,0,1,1,2,0,2,1,2,2,2,2,0,0,1640012002000,03022,387.56
0,3,30635,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1640012002000,03022,387.56
0,3,30638,0,0,0,0,0,0,2,2,2,2,2,0,3,0,3,3,3,3,3,3,0,0,0,2,2,0,0,0,0,1640012002000,03022,387.56
0,3,30640,0,0,0,0,0,0,2,1,1,1,2,2,2,0,3,3,2,0,0,0,0,0,0,2,0,0,0,0,0,1640012002000,03022,387.56
0,3,30642,0,0,0,0,0,0,2,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1640012002000,03022,387.56
