regcode,provcode,hhnum,member_code,age,sex,csc,psc,rhc,educ,occup,wrkpl
3,69,1294,03,15.523614,2,,0,4,7,14,9
3,69,1294,04,32.950035,1,,99,3,7,6,1
3,69,1294,05,19.493498,2,,0,5,5,10,9
3,69,1295,06,85.998634,2,3,0,9,6,0,9
3,69,1296,01,79.912392,1,2,99,1,5,15,9
3,69,1296,02,74.836411,2,2,0,2,6,10,9
3,69,1297,01,60.799454,1,2,99,1,4,6,1
3,69,1297,02,61.100616,2,2,0,2,3,10,9
3,69,1297,03,31.195072,1,,99,3,2,9,1
3,69,1297,04,17.894592,1,,99,3,6,0,9
3,69,1297,05,58.997948,1,,99,5,0,9,1
3,71,1298,01,75.802872,2,3,0,9,6,0,9
3,71,1299,01,37.04586,1,,99,1,10,9,1
3,71,1299,02,26.373716,2,,0,2,6,9,1
3,71,1299,03,9.8425732,2,1,0,4,4,99,9
3,71,1299,04,7.6824093,2,1,0,4,1,99,9
3,71,1299,05,3.3483915,1,1,99,3,99,99,9
3,71,1300,01,14.792608,2,,2,9,8,10,9
3,71,1301,01,90.195755,1,3,99,9,7,0,9
3,71,1302,01,46.190281,1,,99,1,12,1,1
3,71,1302,02,46.236824,2,,0,2,12,10,9
3,71,1303,01,81.155373,1,2,99,1,6,0,9
3,71,1303,02,79.64682,2,2,0,2,6,10,9
3,71,1303,03,19.882273,2,,0,5,11,0,9
3,71,1303,04,42.171116,2,,0,4,14,2,1
3,71,1304,01,77.147156,2,3,0,1,10,15,9
3,71,1304,02,42.390144,1,,99,3,10,9,1
3,71,1304,03,27.915127,1,,99,3,10,0,9
3,71,1305,01,25.845312,1,,99,1,10,8,1
3,71,1305,02,26.184805,2,,4,2,10,10,9
3,71,1305,03,6.5352497,2,1,0,4,0,99,9
3,71,1305,04,5.1718001,1,1,99,3,99,99,9
3,71,1305,05,3.7289529,1,1,99,3,99,99,9
3,71,1305,06,1.6344969,1,1,99,3,99,99,9
3,71,1306,01,31.542778,1,,99,1,0,11,1
3,71,1306,02,23.887749,2,,12,2,6,10,9
3,71,1306,03,6.4750171,1,1,99,3,0,99,9
3,71,1306,04,4.9500341,1,1,99,3,99,99,9
3,71,1306,05,3.6960986,2,1,0,4,99,99,9
3,71,1306,06,1.8015058,1,1,99,3,99,99,9
3,71,1307,01,23.698837,1,,99,1,5,8,1
3,71,1307,02,31.318275,2,,0,2,10,10,9
3,71,1307,03,1.9931554,2,1,0,4,99,99,9
3,71,1308,01,30.806297,1,,99,1,7,9,1
3,71,1308,02,29.790554,2,,0,2,8,10,9
3,71,1308,03,8.6461325,1,1,99,3,2,99,9
3,71,1308,04,7.12115,2,1,0,4,0,99,9
3,71,1308,05,3.5509925,1,1,99,3,99,99,9
3,71,1308,06,2.313484,2,1,0,4,99,99,9
3,71,1309,03,23.173168,2,,3,9,9,10,9
3,71,1310,01,83.063652,1,3,99,9,1,0,9
3,71,1311,01,74.568108,1,2,99,1,2,6,1
3,71,1311,02,75.739906,2,2,0,2,5,10,9
3,71,1311,03,42.001369,1,4,99,3,6,6,1
3,71,1311,04,15.143053,1,,99,5,7,14,9
3,71,1312,01,47.121151,1,,99,1,13,8,1
3,71,1312,02,47.340179,2,,0,2,12,10,9
3,71,1312,03,25.601643,1,,99,3,14,1,1
3,71,1312,04,20.804928,1,,99,3,11,14,9
